games5425898691_pos_x,games5425898691_pos_y,games5425898691_pos_z,enpitsu_pos_x,enpitsu_pos_y,enpitsu_pos_z,ball_pos_x,ball_pos_y,ball_pos_z-GAME-WENT-OT
-2779,5079,493,-4079,-724,289,-2305,-139,946
-2256,4869,16,-3524,-1590,17,-3137,80,708
-2769,4423,17,-3510,-2660,17,-3949,301,152
-2816,3515,17,-3985,-2503,69,-3602,470,535
-1768,2927,17,-3772,-1513,17,-3251,642,582
-763,2353,228,-3694,-487,17,-2916,807,293
383,1212,285,-3201,379,17,-2658,977,247
1583,14,98,-2436,-63,17,-3621,-126,458
1819,-1415,17,-2052,-909,17,-3472,-1266,328
2808,-2289,17,-1851,-1996,17,-3271,-1589,417
3923,-3092,33,-1516,-2899,17,-3890,-945,991
3505,-4351,116,-1285,-3296,17,-3724,-492,1065
2629,-4933,51,-1043,-3388,17,-2940,190,1045
2349,-4945,17,-936,-3339,17,-1793,1090,922
2507,-4254,95,-711,-2792,17,-683,1961,463
2854,-3195,62,-210,-2162,17,286,829,676
3167,-2043,98,385,-1557,17,1171,-446,654
3529,-783,76,932,-1119,89,2108,-1796,276
3640,697,17,1713,-1107,326,2844,-2845,270
2537,1661,17,2132,-1155,302,3501,-3776,254
1080,987,17,2608,-1213,24,3565,-4145,553
493,-556,17,3046,-1632,17,3268,-4157,891
129,-2110,17,3290,-2216,17,2988,-4168,882
-166,-3371,17,3424,-2553,17,2699,-4179,520
-421,-4457,17,3454,-2628,17,2974,-3867,311
-624,-5322,17,3454,-2628,17,3557,-2774,755
-2048,2560,17,-256,3840,17,2525,-1941,712
-2048,2560,17,-256,3840,17,1539,-1414,428
-2048,2560,17,-256,3840,17,920,-2534,359
-2048,2560,17,-256,3840,17,385,-3839,187
-2048,2560,17,-256,3840,17,197,-5209,291
-1983,2503,17,-258,3923,17,197,-5209,291
-1218,1974,17,7,4231,17,197,-5209,291
-135,1077,17,-32,4010,17,197,-5209,291
-57,113,88,-22,3288,17,197,-5209,291
-103,-189,22,106,2413,17,0,0,93
-451,-226,17,80,2495,17,0,0,93
-1216,-243,17,196,3101,17,0,0,93
-1710,485,83,462,3449,113,0,0,93
-2183,1697,65,386,3323,133,0,0,93
-2645,2910,17,348,3220,17,0,0,93
-3016,4250,17,694,3425,17,0,0,93
-2283,4962,18,540,4358,63,0,0,93
-820,4767,17,768,4840,81,-2,376,620
534,3611,17,894,5079,53,136,1105,1528
1452,2450,17,892,5066,42,261,1804,1850
2532,998,17,886,5037,28,349,2414,1287
2094,-414,17,661,4745,17,434,2996,423
652,-846,17,107,4782,17,491,3393,483
51,-2064,17,-10,4474,17,534,3689,743
377,-2889,131,37,3705,17,577,3995,653
730,-3678,16,39,2778,17,617,4271,244
1023,-3842,17,894,1925,17,976,3628,288
1503,-4344,22,2170,784,17,1366,2421,371
2030,-4954,128,3590,256,17,1730,1293,118
2494,-5085,147,3330,-228,17,2091,374,189
2798,-4789,17,2330,237,17,1866,-499,308
3157,-3797,17,1071,803,17,1150,-1344,395
2992,-2258,17,-129,226,17,400,-2228,128
2403,-851,90,-1061,-802,89,518,-3104,487
1679,696,16,-1851,-1770,17,871,-4060,678
183,1043,17,-1945,-2367,17,1220,-5005,515
-530,-433,17,-1685,-2469,52,1448,-4501,138
-960,-1943,231,-1404,-2609,316,907,-4366,194
-1628,-3464,371,-1174,-3016,417,501,-3580,158
-2322,-4892,141,-1011,-3520,240,103,-2915,129
-2496,-5025,37,-843,-3942,17,-236,-1870,95
-2571,-4343,17,132,-4271,17,-537,-685,93
-2746,-3512,17,1650,-4237,17,-739,-1399,619
-2090,-2623,92,2967,-4299,17,-853,-3228,1201
-1079,-1655,36,3026,-4979,427,-956,-4878,1397
9,-1242,17,2258,-5082,94,-1089,-4074,1194
734,-2027,17,1405,-4608,76,-1213,-3105,662
1503,-2123,17,580,-3936,104,-876,-3876,283
1554,-1276,48,-220,-3088,17,-288,-4838,278
811,-374,85,-239,-2062,17,648,-4765,444
-87,562,17,-198,-1323,74,1584,-4693,260
-859,388,16,-94,-31,77,2309,-4686,202
-1463,79,17,18,1304,36,2961,-4722,119
-2688,285,17,97,2541,41,2606,-5021,420
-3846,-96,18,99,3156,17,2018,-4809,468
-3994,-1122,240,37,2818,17,1436,-4563,212
-3714,-2541,240,-260,2142,17,863,-3650,524
-3401,-4039,23,-764,2499,17,302,-2757,483
-2323,-4557,17,-336,3227,17,-234,-1904,111
-1234,-3346,86,-502,3762,17,-591,-629,94
-447,-1759,58,-971,3885,175,-947,220,167
256,3840,17,-2048,2560,17,-1716,-519,546
256,3840,17,-2048,2560,17,-2426,-1202,557
256,3840,17,-2048,2560,17,-3226,-1583,404
256,3840,17,-2048,2560,17,-3850,-1349,298
256,3840,17,-2048,2560,17,-3288,-1207,169
242,3931,86,-1950,2462,17,-2846,-1002,182
-24,4419,95,-1250,1736,17,-2413,473,663
-239,4917,17,-394,692,25,-1994,1900,771
-235,4906,17,66,64,92,-1608,3216,547
-571,4321,17,211,52,17,0,0,100
-1912,4117,17,685,2,17,0,0,93
-3317,3964,17,1434,-28,37,0,0,93
-3851,3013,19,2691,-43,85,0,0,93
-3121,2723,17,3915,-225,30,0,0,93
-2442,2129,40,3759,-837,16,0,0,93
-2355,691,140,2813,-851,17,0,0,93
-2399,-766,68,1864,-1092,17,0,0,93
-2973,-2022,17,923,-776,17,0,0,93
-3903,-1796,27,-28,-870,17,-921,-93,121
-3866,-611,20,-219,-954,17,-2323,-232,97
-3817,546,17,-549,-962,17,-3664,-353,93
-3369,1506,17,-970,-323,17,-3996,-414,535
-2674,1239,17,-1860,-44,17,-3982,-458,756
-2962,651,17,-3200,-212,17,-3494,21,614
-3587,1209,17,-3639,652,17,-2690,847,126
-3368,2400,17,-3350,2279,17,-2551,878,687
-3211,4046,17,-2406,3605,17,-2941,105,1372
-3602,4438,489,-1399,4799,17,-3312,-633,1693
-4012,3938,341,-1295,5096,135,-3684,-1372,1672
-3236,3852,17,-917,5103,231,-3983,-2070,1322
-1853,4422,17,-457,5154,85,-3770,-2617,719
-333,4973,17,-44,4971,98,-3637,-2690,189
649,4246,17,1181,4363,82,-3662,-1838,139
317,2845,17,2308,3506,17,-3804,-448,138
-905,2150,17,2087,2427,17,-3926,1230,124
-2054,873,17,1466,1672,61,-3828,2791,94
-3265,-85,17,1123,466,27,-3549,4208,134
-4079,469,522,1032,327,17,-2498,5021,132
-4078,1690,264,994,1209,25,-1759,4633,345
-2299,4522,17,455,2516,85,-1053,4263,200
-2601,4091,17,-171,3935,17,-460,3997,181
-3241,3719,17,-1309,4762,177,73,3779,119
-3629,2551,136,-2744,5019,202,521,3596,100
