games5425898691_pos_x,games5425898691_pos_y,games5425898691_pos_z,enpitsu_pos_x,enpitsu_pos_y,enpitsu_pos_z,ball_pos_x,ball_pos_y,ball_pos_z-GAME-WENT-OT
1915,-3361,87,191,-1818,110,-131,-3888,1693
1822,-2207,17,-668,-2663,368,-832,-3590,1162
1204,-1325,17,-1586,-3679,493,-1253,-3464,684
92,-1039,17,-2624,-4786,224,-1197,-3643,549
-798,-551,17,-3107,-4647,22,-1143,-3810,95
-1654,226,17,-3021,-3464,17,-1855,-2753,624
-2606,696,17,-2403,-2507,18,-2637,-1601,837
-3410,952,17,-2157,-1248,17,-3410,-461,711
-3729,2174,17,-1855,105,17,-3910,575,272
-3236,3568,17,-1537,1486,17,-3502,1194,286
-2689,4620,17,-1711,2476,17,-3136,1708,251
-2048,5059,60,-3044,2388,123,-2977,2843,103
-1225,5090,103,-3884,2359,90,-2146,3929,311
-486,5094,242,-4035,2727,123,-814,4752,376
265,4496,320,-3906,3488,29,-71,5210,257
848,3136,630,-3746,4082,38,-71,5210,257
1481,1661,615,-3554,4416,116,-71,5210,257
2050,333,290,-3426,4537,108,-71,5210,257
0,4608,26,-2048,2560,27,0,0,93
0,4608,17,-2048,2560,17,0,0,93
0,4608,17,-2048,2560,17,0,0,93
0,4608,17,-2048,2560,17,0,0,93
0,4608,17,-2048,2560,17,0,0,93
0,4608,17,-2048,2560,17,0,0,93
-3,4302,17,-1832,2344,17,0,0,93
-620,3450,17,-1096,1492,17,0,0,93
-2005,3771,17,-210,409,81,0,0,93
-3187,4028,17,217,-35,99,1163,575,236
-3611,3005,17,584,-104,17,2558,1306,103
-2697,2535,17,1326,45,17,3742,1913,100
-2192,3374,17,1840,859,93,4000,2298,545
-1868,4345,17,2474,2026,28,3992,2644,754
-1030,4924,17,2975,3455,17,3319,4035,624
-6,4998,17,2853,4782,28,2456,4774,241
1415,4550,107,1568,5098,138,1405,4512,373
2421,4744,86,516,5101,43,52,4591,611
3169,4462,17,-373,5247,17,-1331,4673,502
2721,3994,17,-346,5140,17,-2621,4745,111
1920,4324,17,-490,4736,17,-2234,4688,639
1030,4159,58,-727,4339,17,-1434,4049,856
101,3567,315,-351,4223,17,-696,3459,732
-1135,2751,480,277,3438,17,-678,1930,1068
-2339,1932,391,17,2218,17,-1102,-56,1513
-3649,1013,12,24,1120,17,-1521,-2020,1609
-3502,291,17,26,-124,17,-1930,-3941,1358
-3545,-546,17,-28,-1007,17,-2298,-4623,860
-3246,-1633,181,-31,-1053,17,-2673,-3480,117
-2849,-2882,326,-155,-1235,17,-2694,-2953,600
-2557,-3920,105,-606,-1458,17,-1791,-3965,1282
-2264,-4903,37,-588,-1468,17,-948,-4911,1596
-1963,-4819,17,-173,-1965,17,-331,-4543,1236
-1920,-4184,17,298,-3016,88,246,-4009,484
-1301,-3472,17,645,-3882,172,422,-4641,976
-764,-2941,17,964,-4113,18,424,-4467,1514
-816,-2214,17,1700,-4226,17,441,-3690,1611
-995,-1251,17,2891,-3677,17,458,-2903,1362
-1066,44,94,3146,-2126,92,474,-2160,790
-1134,1351,17,3349,-388,16,489,-1483,208
-1841,2517,17,3431,1076,17,504,-1068,565
-2052,3524,17,2116,1352,17,517,-685,563
-1628,3844,17,1178,587,17,814,-225,432
-803,3946,17,1271,-4,114,1261,111,395
240,4183,17,1574,-585,46,1575,43,776
1709,4169,17,2370,-709,17,1883,-23,802
3287,3818,17,2822,-273,17,2180,-86,488
3483,2481,17,1925,180,88,1784,-365,401
2346,1620,17,984,640,118,671,-871,579
1119,428,17,-409,1198,17,-456,-1384,413
848,-961,17,-1503,204,17,-1436,-1842,172
-246,-1381,17,-2332,-791,17,-2205,-2236,245
-1046,-680,17,-3304,-577,17,-2976,-1983,198
-1841,168,17,-3435,357,17,-3863,61,379
-2210,1432,17,-2895,1685,17,-3541,1747,264
-2207,3003,17,-2910,3201,147,-3066,3130,180
-3005,4077,49,-3001,4397,138,-3307,4081,232
-3469,4571,340,-2877,5024,123,-3327,3775,492
-2950,5020,283,-2976,4703,16,-2963,2985,507
-1855,5008,27,-2037,4296,17,-2577,2285,233
-1042,4856,17,-1614,4254,17,-1854,3172,442
-860,4403,162,-1184,4005,252,-1171,3816,416
-715,3894,54,-697,3436,217,-836,3021,655
-930,3443,17,-279,2913,16,-497,2217,557
-1723,3507,17,-40,1778,64,-247,1511,181
-2641,3962,17,23,905,137,-818,1719,188
-3428,4527,97,95,349,17,-1320,1908,139
-2991,4999,381,-516,398,17,-1741,2071,101
-2117,4959,16,-409,982,17,-2127,2221,93
-1697,4056,17,-333,1995,17,-2482,2358,93
-811,4053,17,105,3427,17,-1606,3861,571
-158,4689,17,-11,4498,17,-742,4859,739
103,5360,18,-40,4524,17,-9,3898,525
-331,5444,21,34,4509,17,153,3704,154
-435,4668,102,-285,4391,70,-260,4235,155
-329,3732,252,-523,3801,87,-232,3625,393
-256,2805,223,-639,3003,17,143,2648,558
-84,1995,17,180,2441,17,519,1672,365
651,1015,90,523,3164,17,829,866,198
1569,36,120,1086,3831,17,1730,-402,553
2519,-1100,17,2126,4030,17,2711,-1735,619
3494,-1836,17,3064,4104,17,3683,-3054,349
4027,-2932,111,3544,3064,17,3877,-3755,104
3513,-3910,17,3125,1504,17,3620,-3895,134
3698,-4343,386,2559,27,17,3481,-3096,230
4067,-3739,411,2754,-346,17,3361,-2388,136
3876,-2842,43,2878,-579,17,3274,-1841,108
3734,-1745,98,2903,-189,73,2797,-325,324
3657,-557,16,2519,253,99,2229,1436,252
3244,721,100,2359,506,17,1726,3008,172
2752,1983,31,2550,855,17,1279,4412,102
2537,3437,17,2111,1788,17,906,4716,287
1771,4605,17,1325,3160,17,544,4107,376
611,4901,17,381,4202,17,160,5152,493
470,4149,250,193,3681,17,117,5213,401
722,2870,368,262,2868,17,117,5213,401
972,1606,132,309,2331,17,117,5213,401
1333,551,169,328,2112,17,117,5213,401
256,3840,17,0,4608,16,0,0,93
256,3840,17,0,4608,16,0,0,93
256,3840,17,0,4608,16,0,0,93
256,3840,17,0,4608,16,0,0,93
256,3840,17,0,4608,16,0,0,93
256,3826,17,0,4594,17,0,0,93
110,3062,17,0,4271,17,0,0,93
-27,1881,17,0,4546,17,0,0,93
-21,347,87,0,4246,17,0,0,93
-12,67,86,162,3486,17,1174,219,93
-21,54,17,1262,3466,17,2414,473,93
427,76,17,2554,4114,17,3479,690,93
773,825,107,3929,3575,35,4001,837,339
1235,1958,56,4078,1973,256,3991,930,521
1747,2103,17,3647,600,359,3976,362,715
2155,1613,17,2768,-787,282,3956,-1186,1071
2008,701,17,2130,-1974,16,3937,-2615,1067
1290,28,17,2602,-3306,17,3865,-4010,736
789,-761,17,3659,-4110,24,3968,-3261,401
1448,-1219,17,3905,-3122,29,3575,-1887,136
2417,-577,17,3499,-1554,17,3184,-744,213
3501,297,157,3696,203,17,3525,-355,367
3997,1000,331,3414,1664,17,3772,-443,440
3928,1599,173,2431,2854,17,3280,-449,130
3816,2090,30,1610,4024,17,3002,1191,655
3646,2488,17,1133,4659,17,2767,2946,929
3245,3096,17,708,5202,128,2529,4724,866
2841,4030,17,328,5520,91,2351,4209,499
2696,4923,18,252,5572,26,1515,3921,103
1658,5012,30,112,4977,17,-93,4620,93
-36,4704,17,-1045,4971,17,-1512,5027,295
-1387,4130,17,-2117,5103,386,-2620,5024,524
-2844,4104,17,-3181,4860,533,-3351,4556,454
-3876,4080,113,-3888,4129,191,-3949,3882,303
-4079,2713,333,-3906,3293,28,-3790,2490,455
-3819,1103,14,-3430,2345,17,-3542,1059,297
-2597,-67,17,-2541,2394,17,-3021,-636,252
-1360,-946,17,-1893,3023,17,-2379,-2372,133
216,-983,17,-1151,2528,17,-1855,-3881,140
656,-2071,17,-1331,1671,17,-2514,-4946,295
-445,-2824,17,-2101,1050,17,-3657,-4198,413
-2135,-2754,17,-3058,233,17,-3909,-3214,216
-3787,-2384,108,-3351,-698,17,-3952,-2506,244
-3985,-2024,70,-3330,-1124,17,-3138,-2476,582
-3078,-1740,25,-2619,-1590,17,-2248,-2443,575
-1936,-1236,94,-1637,-1941,17,-1368,-2411,226
-650,-652,17,-645,-2462,109,-736,-2664,350
832,-347,104,443,-3194,36,-44,-3755,625
2477,-55,45,1551,-3876,17,617,-4798,538
3951,-398,43,2660,-3930,17,1327,-4862,702
4024,-1886,106,3438,-4319,23,2012,-4799,595
3080,-3046,17,2770,-4741,159,2583,-4760,186
1558,-3068,17,2086,-5046,204,1435,-4462,343
176,-3738,96,1616,-5024,108,325,-3733,208
-777,-4503,75,1385,-4559,17,294,-3851,403
-1689,-5078,140,486,-3874,105,245,-3859,370
